player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played,decade,disposal_efficiency,player_name,player_full_name,first_name,last_name,born_date,debut_date,debut_age,last_date,last_age,height,weight,player_link,player_teams
43261,2018,Geelong Cats,False,3,17.0,9.0,21.0,38.0,3.0,2.0,82.0,18.0,2.0,2.0,8.0,10.0,2.0,6.0,0.0,20.0,20.0,1.0,5.0,13.0,0.0,1.0,20,278,253.0,5.7,3.0,7.0,12.7,1.0,0.7,27.3,6.0,0.7,0.7,2.7,3.3,0.7,2.0,6.7,6.7,0.3,1.7,4.3,0.0,0.3,6.7,92.7,84.3,2010,0.4473684210526316,Ryan Abbott,Ryan_Abbott,Ryan,Abbott,1991-06-25,2018-08-02,27.0,2020-09-05,29.0,200.0,100.0,https://afltables.com/afl/stats/players/R/Ryan_Abbott.html,"['Geelong Cats', 'St Kilda Saints']"
43261,2018,Geelong Cats,True,1,3.0,2.0,2.0,5.0,0.0,1.0,27.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,5.0,0.0,0.0,1,61,81.0,3.0,2.0,2.0,5.0,0.0,1.0,27.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,5.0,0.0,0.0,1.0,61.0,81.0,2010,0.6,Ryan Abbott,Ryan_Abbott,Ryan,Abbott,1991-06-25,2018-08-02,27.0,2020-09-05,29.0,200.0,100.0,https://afltables.com/afl/stats/players/R/Ryan_Abbott.html,"['Geelong Cats', 'St Kilda Saints']"
43261,2019,Geelong Cats,False,1,5.0,3.0,6.0,11.0,1.0,0.0,24.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,0.0,6.0,8.0,0.0,1.0,3.0,0.0,0.0,6,74,83.0,5.0,3.0,6.0,11.0,1.0,0.0,24.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,6.0,8.0,0.0,1.0,3.0,0.0,0.0,6.0,74.0,83.0,2010,0.4545454545454545,Ryan Abbott,Ryan_Abbott,Ryan,Abbott,1991-06-25,2018-08-02,27.0,2020-09-05,29.0,200.0,100.0,https://afltables.com/afl/stats/players/R/Ryan_Abbott.html,"['Geelong Cats', 'St Kilda Saints']"
43261,2020,St Kilda Saints,False,1,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6,22,54.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,22.0,54.0,2020,0.6666666666666666,Ryan Abbott,Ryan_Abbott,Ryan,Abbott,1991-06-25,2018-08-02,27.0,2020-09-05,29.0,200.0,100.0,https://afltables.com/afl/stats/players/R/Ryan_Abbott.html,"['Geelong Cats', 'St Kilda Saints']"
43262,2002,Geelong Cats,False,12,37.0,13.0,63.0,100.0,10.0,3.0,0.0,25.0,1.0,17.0,13.0,11.0,7.0,1.0,0.0,68.0,36.0,3.0,3.0,12.0,2.0,0.0,63,443,,3.1,1.1,5.3,8.3,0.8,0.3,0.0,2.1,0.1,1.4,1.1,0.9,0.6,0.1,5.7,3.0,0.3,0.3,1.0,0.2,0.0,5.3,36.9,,2000,0.37,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2003,Geelong Cats,False,22,189.0,61.0,138.0,327.0,26.0,20.0,0.0,77.0,14.0,89.0,50.0,35.0,21.0,11.0,3.0,185.0,163.0,6.0,11.0,42.0,30.0,11.0,176,1498,2061.0,8.6,2.8,6.3,14.9,1.2,0.9,0.0,3.5,0.6,4.0,2.3,1.6,1.0,0.5,8.4,7.4,0.3,0.5,1.9,1.4,0.5,8.0,68.1,93.7,2000,0.5779816513761468,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2004,Geelong Cats,False,18,148.0,38.0,103.0,251.0,31.0,24.0,0.0,79.0,10.0,49.0,38.0,37.0,13.0,24.0,3.0,152.0,96.0,11.0,15.0,25.0,9.0,15.0,210,1231,1676.0,8.2,2.1,5.7,13.9,1.7,1.3,0.0,4.4,0.6,2.7,2.1,2.1,0.7,1.3,8.4,5.3,0.6,0.8,1.4,0.5,0.8,11.7,68.4,93.1,2000,0.5896414342629482,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2004,Geelong Cats,True,3,30.0,8.0,20.0,50.0,4.0,1.0,0.0,14.0,2.0,14.0,11.0,8.0,1.0,3.0,0.0,22.0,22.0,0.0,2.0,5.0,4.0,2.0,25,227,290.0,10.0,2.7,6.7,16.7,1.3,0.3,0.0,4.7,0.7,4.7,3.7,2.7,0.3,1.0,7.3,7.3,0.0,0.7,1.7,1.3,0.7,8.3,75.7,96.7,2000,0.6,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2005,Geelong Cats,False,22,236.0,60.0,172.0,408.0,26.0,24.0,0.0,74.0,20.0,90.0,50.0,41.0,22.0,19.0,3.0,194.0,209.0,8.0,13.0,32.0,14.0,17.0,180,1673,2096.0,10.7,2.7,7.8,18.5,1.2,1.1,0.0,3.4,0.9,4.1,2.3,1.9,1.0,0.9,8.8,9.5,0.4,0.6,1.5,0.6,0.8,8.2,76.0,95.3,2000,0.5784313725490197,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2005,Geelong Cats,True,2,21.0,5.0,6.0,27.0,3.0,2.0,0.0,12.0,1.0,11.0,4.0,4.0,1.0,3.0,0.0,14.0,14.0,0.0,1.0,1.0,1.0,0.0,20,150,176.0,10.5,2.5,3.0,13.5,1.5,1.0,0.0,6.0,0.5,5.5,2.0,2.0,0.5,1.5,7.0,7.0,0.0,0.5,0.5,0.5,0.0,10.0,75.0,88.0,2000,0.7777777777777778,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2006,Geelong Cats,False,21,212.0,74.0,142.0,354.0,35.0,28.0,0.0,65.0,8.0,70.0,35.0,44.0,22.0,15.0,5.0,163.0,186.0,4.0,18.0,30.0,20.0,17.0,238,1617,1850.0,10.1,3.5,6.8,16.9,1.7,1.3,0.0,3.1,0.4,3.3,1.7,2.1,1.0,0.7,7.8,8.9,0.2,0.9,1.4,1.0,0.8,11.3,77.0,88.1,2000,0.5988700564971752,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2007,Geelong Cats,False,22,315.0,87.0,270.0,585.0,26.0,23.0,0.0,68.0,47.0,130.0,81.0,70.0,34.0,21.0,20.0,215.0,371.0,9.0,11.0,33.0,67.0,18.0,179,2168,1979.0,14.3,4.0,12.3,26.6,1.2,1.0,0.0,3.1,2.1,5.9,3.7,3.2,1.5,1.0,9.8,16.9,0.4,0.5,1.5,3.0,0.8,8.1,98.5,90.0,2000,0.5384615384615384,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43262,2007,Geelong Cats,True,3,43.0,11.0,39.0,82.0,4.0,3.0,0.0,18.0,5.0,17.0,19.0,7.0,8.0,1.0,0.0,39.0,45.0,1.0,2.0,5.0,11.0,0.0,27,344,266.0,14.3,3.7,13.0,27.3,1.3,1.0,0.0,6.0,1.7,5.7,6.3,2.3,2.7,0.3,13.0,15.0,0.3,0.7,1.7,3.7,0.0,9.0,114.7,88.7,2000,0.524390243902439,Gary Ablett,Gary_Ablett1,Gary,Ablett,1984-05-14,2002-03-30,17.0,2020-10-24,36.0,182.0,87.0,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"['Geelong Cats', 'Gold Coast Suns']"
43263,2006,Sydney Swans,True,3,29.0,7.0,12.0,41.0,0.0,1.0,3.0,5.0,5.0,6.0,10.0,8.0,1.0,3.0,0.0,19.0,19.0,1.0,0.0,2.0,0.0,0.0,1,148,195.0,9.7,2.3,4.0,13.7,0.0,0.3,1.0,1.7,1.7,2.0,3.3,2.7,0.3,1.0,6.3,6.3,0.3,0.0,0.7,0.0,0.0,0.3,49.3,65.0,2000,0.7073170731707317,Luke Ablett,Luke_Ablett,Luke,ABLETT,1982-11-22,2002-06-29,19.0,2009-08-28,26.0,184.0,89.0,https://afltables.com/afl/stats/players/L/Luke_Ablett.html,['Sydney Swans']
